"ac","sacomp","enf","ap"
"18","112.89","151.10","226.06"
"23","126.44","169.23","253.19"
"28","141.61","189.54","283.57"
"33","162.85","217.97","326.11"
"38","187.28","250.67","375.03"
"43","222.86","298.30","446.29"
"48","278.58","372.88","557.86"
"53","348.23","466.10","697.33"
"58","591.99","792.37","1185.46"
"59","663.03","887.45","1327.72"
