"ac","enf","ap"
"18","148.34","192.34"
"23","166.14","215.42"
"28","186.08","241.27"
"33","213.99","277.46"
"38","246.09","319.08"
"43","292.85","379.71"
"48","366.06","474.64"
"53","457.58","593.30"
"58","777.89","1008.61"
"59","871.24","1129.64"
