"ac","enf","ap"
"18","155.96","233.18"
"23","174.68","261.16"
"28","195.64","292.50"
"33","224.99","336.38"
"38","258.74","386.84"
"43","307.90","460.34"
"48","384.88","575.43"
"53","481.10","719.29"
"58","817.87","1222.79"
"59","916.01","1369.52"
