"ac","enf","ap"
"18","197.99","256.91"
"23","221.75","287.74"
"28","248.36","322.27"
"33","285.61","370.61"
"38","328.45","426.20"
"43","390.86","507.18"
"48","488.58","633.98"
"53","610.73","792.48"
"58","1038.24","1347.22"
"59","1162.83","1508.89"
