"ac","amb","enf","ap"
"18","157.19","258.66","376.06"
"23","207.96","341.43","496.40"
"28","237.49","392.64","570.86"
"33","265.28","439.76","639.36"
"38","279.34","461.75","671.33"
"43","313.98","521.78","758.60"
"48","384.63","636.57","925.49"
"53","534.64","878.47","1277.18"
"58","721.76","1185.93","1724.19"
"59","938.29","1541.71","2241.45"
