"ac","amb","enf","ap"
"18","122.76","186.94","278.63"
"23","161.25","245.61","366.64"
"28","183.64","281.91","421.10"
"33","204.70","315.31","471.20"
"38","215.36","330.90","494.58"
"43","241.62","373.45","558.41"
"48","295.17","454.82","680.47"
"53","408.88","626.28","937.68"
"58","550.73","844.22","1264.61"
"59","714.87","1096.41","1642.91"
