"ac","amb","enf","ap"
"18","198.04","322.04","471.61"
"23","260.84","417.76","615.20"
"28","297.37","476.99","704.05"
"33","331.74","531.48","785.79"
"38","349.13","556.91","823.93"
"43","391.98","626.33","928.06"
"48","479.37","759.08","1127.20"
"53","664.92","1038.83","1546.83"
"58","896.38","1394.41","2080.21"
"59","1164.21","1805.86","2697.40"
