"ac","amb","enf","ap"
"18","156.19","238.36","355.76"
"23","205.48","313.48","468.45"
"28","234.15","359.96","538.18"
"33","261.12","402.72","602.33"
"38","274.77","422.68","632.27"
"43","308.40","477.16","714.00"
"48","376.98","581.34","870.29"
"53","522.60","800.88","1199.63"
"58","704.25","1079.93","1618.24"
"59","914.45","1402.83","2102.63"
