"ac","amb","enf","ap"
"18","146.75","242.61","308.24"
"23","194.15","320.25","406.88"
"28","221.72","368.29","467.91"
"33","247.66","412.48","524.06"
"38","260.79","433.10","550.26"
"43","293.13","489.40","621.79"
"48","359.08","597.07","758.58"
"53","499.12","823.96","1046.84"
"58","673.81","1112.35","1413.23"
"59","875.95","1446.06","1837.20"
