"ac","amb","enf","ap"
"18","115.64","186.58","235.37"
"23","152.99","246.29","310.69"
"28","174.71","283.23","357.29"
"33","195.15","317.22","400.16"
"38","205.49","333.08","420.17"
"43","230.97","376.38","474.79"
"48","282.94","459.18","579.24"
"53","393.29","633.67","799.35"
"58","530.94","855.45","1079.12"
"59","690.22","1112.09","1402.86"
