"ac","amb","enf","ap"
"18","199.04","323.04","472.61"
"23","263.33","426.41","623.85"
"28","300.72","490.37","717.43"
"33","335.90","549.21","803.52"
"38","353.70","576.67","843.70"
"43","397.56","651.64","953.38"
"48","487.01","795.00","1163.12"
"53","676.94","1097.10","1605.11"
"58","913.87","1481.09","2166.90"
"59","1188.03","1925.42","2816.97"
