"ac","amb","enf","ap"
"18","155.49","245.43","356.68"
"23","204.55","316.64","463.49"
"28","233.08","360.70","529.58"
"33","259.93","401.24","590.38"
"38","273.52","420.16","618.75"
"43","306.99","471.80","696.21"
"48","375.25","570.56","844.34"
"53","520.19","778.67","1156.49"
"58","701.00","1043.19","1553.25"
"59","910.22","1349.28","2012.36"
