"ac","amb","enf","ap"
"18","156.49","246.43","357.68"
"23","207.04","325.29","472.14"
"28","236.44","374.08","542.96"
"33","264.10","418.97","608.12"
"38","278.10","439.92","638.53"
"43","312.58","497.11","721.54"
"48","382.91","606.47","880.28"
"53","532.24","836.93","1214.79"
"58","718.52","1129.86","1639.97"
"59","934.08","1468.82","2131.96"
