"ac","amb","enf","ap"
"18","145.75","241.61","307.42"
"23","191.66","311.60","398.23"
"28","218.36","354.91","454.53"
"33","243.49","394.75","506.33"
"38","256.20","413.34","530.50"
"43","287.52","464.10","596.49"
"48","351.40","561.16","722.68"
"53","487.04","765.70","988.60"
"58","656.24","1025.68","1326.60"
"59","852.03","1326.51","1717.71"
