"ac","amb","enf","ap"
"18","123.76","207.24","298.93"
"23","163.73","273.56","394.59"
"28","186.98","314.59","453.78"
"33","208.86","352.34","508.23"
"38","219.93","369.96","533.64"
"43","247.20","418.05","603.01"
"48","302.82","510.02","735.67"
"53","420.92","703.83","1015.22"
"58","568.24","950.17","1370.55"
"59","738.71","1235.22","1781.72"
